iso3,country_label,disponibilite_volaille_kg_hab_an,log_population_2017,part_importations_poulet,log_production_poulet,ease_business_score,political_stability,log_gdp_per_capita,log_distance_france,langue_officielle_commune_france,log_evenements_sanitaires,signal_maturite_bio_import
ETH,Ethiopia,-1.272502992701999,1.4258664164227728,-0.8781777856336503,0.04073224002767476,-1.3426448382628215,-1.8596423151755619,-1.6355222378373315,0.253409551828919,-0.47967540647319123,-0.5194246442940337,-0.45888770585653016
FIN,Finland,-0.007180310558931561,-0.18566490085635748,-0.756097807898211,0.28085342512129235,1.388090299371378,1.3037203318955708,1.2638806835854337,-0.9621029895399431,-0.47967540647319123,1.0995073716992867,2.09368570762966
FJI,Fidji,0.6217455099802419,-1.1854920036013732,-0.6847217036534297,-0.25202913322195974,-0.11610252858803771,0.7994161417827816,0.050069870595754414,1.4890629530641442,-0.47967540647319123,-0.5194246442940337,0.33893771485730206
FRA,France,0.2740025076950832,1.1562611801413125,-0.15026619724306775,1.211951618608725,1.067372344993847,0.3868036225995904,1.2085061176104683,-3.144607868220483,-0.47967540647319123,1.7729439734168717,-0.3512631622998255
GAB,Gabon,0.7107188172055461,-0.7199710464232655,1.9501048273678065,-1.1213865837678085,-1.46029670034159,-0.04873181431600041,0.19862209949185583,0.22383115691508731,2.08474311274887,-0.5194246442940337,-0.3512631622998255
GEO,Georgia,-0.24421606797596365,-0.3589321920537974,1.1898633407600814,-0.4234502394231827,1.632408907515457,-0.3581912037033938,0.12922221221980992,-0.31784106556633895,-0.47967540647319123,-0.5194246442940337,-0.5618329214325086
GHA,Ghana,-0.7896020657005386,0.7204902576363275,1.2585849863229368,-0.005010160565833825,-0.3557430163785244,0.16903590414179498,-0.7661656087550174,0.08856878264155439,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
GIN,Guinea,-1.00422469992341,0.24092671400435212,1.1608818972925121,-0.5774746393720898,-1.2970313490880556,-0.7364193462879858,-1.3667806233389697,0.05622372487366034,2.08474311274887,-0.5194246442940337,-0.5758709053746874
GNB,Guinea-Bissau,-1.1346283257803444,-0.7862131666108463,0.9205225582616009,-1.2635577775840015,-1.6033396921090661,-0.5071901689639906,-1.6009195226160648,-0.006112263297640302,-0.47967540647319123,-0.5194246442940337,-0.552474265471056
GRC,Greece,-0.24082014021927262,0.16877359501014877,-0.34407091269800066,0.5695863435211098,0.34953386204580017,-0.014347437717401147,0.8060355412223291,-0.8559493849846018,-0.47967540647319123,0.020219361037073082,0.9870246401878929
GRD,Grenada,1.8225455647461806,-2.307380896295007,1.8464477129430006,-1.8628106483105118,-0.7646052477513131,1.2234901198321724,0.2136824060338072,0.5293540478093929,-0.47967540647319123,-0.5194246442940337,-0.3255268584058309
